Rang	Entreprise	Activité	Ville	Chiffre d'affaires
858	BODEMER	Activités des sociétés holding (64.20Z)	SAINT-BRIEUC 22000	662 668 000 €
859	EURIAL ULTRA FRAIS	Fabrication de lait liquide et de produits frais (10.51A)	JOUY 89150	661 964 887 €
860	AMAZON FRANCE TRANSPORT SAS	Affrètement et organisation des transports (52.29B)	CLICHY 92110	661 789 157 €
861	RENAULT CLEON	Construction de véhicules automobiles (29.10Z)	BOULOGNE-BILLANCOURT 92100	661 789 076 €
862	AREA	Services auxiliaires des transports terrestres (52.21Z)	BRON 69500	659 000 000 €
863	COLRUYT RETAIL FRANCE	Supermarchés (47.11D)	ROCHEFORT-SUR-NENON 39700	658 886 345 €
864	VETIR	Commerce de détail d'habillement en magasin spécialisé (47.71Z)	MONTREVAULT-SUR-EVRE 49110	656 101 614 €
865	ZAMENHOF	Activités des sièges sociaux (70.10Z)	BOURG-DE-PEAGE 26300	656 030 000 €
866	DACHSER FRANCE	Messagerie, fret express (52.29A)	CHANVERRIE 85130	655 684 260 €
867	SOGEPROM SOC GENERALE PROMOTION FINANCEMENT IMMOB	Activités des sièges sociaux (70.10Z)	COURBEVOIE 92400	655 134 000 €
868	SYSTRA	Ingénierie, études techniques (71.12B)	PARIS 15 75015	654 798 000 €
869	AUTO CHASSIS INTERNATIONAL	Fabrication d'autres équipements automobiles (29.32Z)	BOULOGNE-BILLANCOURT 92100	653 362 257 €
870	M-ENERGY	Activités des sièges sociaux (70.10Z)	BAUME-LES-DAMES 25110	651 936 026 €
871	ICADE PROMOTION	Promotion immobilière de logements (41.10A)	ISSY-LES-MOULINEAUX 92130	651 897 531 €
872	GILEAD SCIENCES	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	BOULOGNE-BILLANCOURT 92100	651 046 345 €
873	SUPPLAY	Activités des agences de travail temporaire (78.20Z)	REIMS 51100	650 355 036 €
874	ZAMENHOF EXPLOITATION	Activités des sièges sociaux (70.10Z)	SAINT DONAT SUR L'HERBASSE 26260	649 906 000 €
875	CANAL + INTERNATIONAL	Édition de chaînes thématiques (60.20B)	BOULOGNE-BILLANCOURT 92100	646 300 000 €
876	L.N.U.F. MARQUES LACTALIS NESTLE ULTRA-FRAIS MARQUES	Fabrication de lait liquide et de produits frais (10.51A)	LAVAL 53000	645 927 523 €
877	COLAS SUD OUEST	Construction de routes et autoroutes (42.11Z)	MERIGNAC 33700	645 567 846 €
878	CGE DISTRIBUTION	Commerce de gros (commerce interentreprises) de matériel électrique (46.69A)	MONTROUGE 92120	643 244 720 €
879	ALCYON	Activités des sociétés holding (64.20Z)	PARIS 13 75013	642 241 075 €
880	SAS VESTAS FRANCE	Commerce de gros (commerce interentreprises) de matériel électrique (46.69A)	PEROLS 34470	641 383 218 €
881	SCHIEVER DISTRIBUTION	Centrales d'achat alimentaires (46.17A)	AVALLON 89200	641 110 988 €
882	TSG HOLDING	Activités des sociétés holding (64.20Z)	LE PLESSIS-ROBINSON 92350	638 478 000 €
883	TEREOS STARCH & SWEETENERS EUROPE	Fabrication de produits amylacés (10.62Z)	MARCKOLSHEIM 67390	638 230 715 €
884	FAURECIA SYSTEMES D'ECHAPPEMENT	Activités des sièges sociaux (70.10Z)	NANTERRE 92000	638 224 738 €
885	FINANCIERE SUN	Activités des sociétés holding (64.20Z)	MONTROUGE 92120	638 112 000 €
886	API RESTAURATION	Autres services de restauration n.c.a. (56.29B)	MONS-EN-BAROEUL 59370	637 714 116 €
887	COSAS CHEVRON ORONITE SAS	Fabrication d'autres produits chimiques n.c.a. (20.59Z)	RUEIL-MALMAISON 92500	636 141 115 €
888	ERANOVE	Conseil pour les affaires et autres conseils de gestion (70.22Z)	PUTEAUX 92800	636 063 000 €
889	OBOL FRANCE 1	Activités des sociétés holding (64.20Z)	PARIS 19 75019	636 019 000 €
890	BARILLA FRANCE	Fabrication industrielle de pain et de pâtisserie fraîche (10.71A)	BOULOGNE-BILLANCOURT 92100	633 643 699 €
891	DIPA	Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie (46.36Z)	PERPIGNAN 66000	633 483 473 €
892	BOIS & MATERIAUX	Commerce de gros (commerce interentreprises) de bois et de matériaux de construction (46.73A)	PACE 35740	632 897 945 €
893	K E SAS	Activités des sociétés holding (64.20Z)	SAINT-DENIS 93210	631 685 000 €
894	BASF AGRI PRODUCTION SAS	Fabrication de pesticides et d'autres produits agrochimiques (20.20Z)	ECULLY 69130	630 221 102 €
895	CERESIA	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	REIMS 51100	629 878 000 €
896	GLOBAL BLUE FRANCE	Autres activités de soutien aux entreprises n.c.a. (82.99Z)	LEVALLOIS-PERRET 92300	629 770 688 €
897	FINANCIERE IDAT	Activités des sociétés holding (64.20Z)	PARIS 9 75009	629 542 000 €
898	PVL PLASTIQUES DU VAL DE LOIRE	Fabrication d'autres équipements automobiles (29.32Z)	LANGEAIS 37130	629 240 000 €
899	VINDEMIA DISTRIBUTION	Hypermarchés (47.11F)	SAINTE-MARIE 97438	629 213 853 €
900	INGENICO TERMINALS	Fabrication d'ordinateurs et d'équipements périphériques (26.20Z)	PARIS 15 75015	629 145 139 €
901	SHOWROOMPRIVE.COM	Vente à distance sur catalogue général (47.91A)	SAINT-DENIS 93210	628 348 375 €
902	FINANCIERE PICHET	Activités des sociétés holding (64.20Z)	PARIS 8 75008	627 357 000 €
903	LIEBHERR-FRANCE	Fabrication de machines pour l'extraction ou la construction (28.92Z)	COLMAR 68000	626 233 519 €
904	ELIOR ENTREPRISES	Restauration collective sous contrat (56.29A)	COURBEVOIE 92400	626 173 001 €
905	NAOS LIGHTHOUSE	Activités des sièges sociaux (70.10Z)	AIX-EN-PROVENCE 13290	625 528 257 €
906	THALES GLOBAL SERVICES SAS	Gestion d'installations informatiques (62.03Z)	VELIZY-VILLACOUBLAY 78140	624 795 000 €
907	FREEBOX	Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication (46.52Z)	PARIS 8 75008	624 756 373 €
908	ASTRAZENECA	Fabrication de préparations pharmaceutiques (21.20Z)	COURBEVOIE 92400	623 973 872 €
909	OGF	Services funéraires (96.03Z)	PARIS 19 75019	623 524 638 €
910	AD AUBERT & DUVAL	Forge, estampage, matriçage ; métallurgie des poudres (25.50A)	PARIS 15 75015	622 582 000 €
911	PARIS SAINT GERMAIN FOOTBALL	Activités de clubs de sports (93.12Z)	PARIS 16 75016	622 211 000 €
912	SCHAEFFLER FRANCE	Fabrication d'autres équipements automobiles (29.32Z)	HAGUENAU 67500	622 207 513 €
913	HERIGE	Activités des sièges sociaux (70.10Z)	L'HERBERGEMENT 85260	622 081 000 €
914	CLAAS FRANCE	Commerce de gros (commerce interentreprises) de matériel agricole (46.61Z)	YMERAY 28320	620 993 142 €
915	EY & ASSOCIES	Activités comptables (69.20Z)	COURBEVOIE 92400	620 713 643 €
916	GALLIANCE VOLAILLE FRAICHE	Transformation et conservation de la viande de volaille (10.12Z)	ANCENIS-SAINT-GEREON 44150	617 974 719 €
917	OREXAD BRAMMER	Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (46.69B)	LYON 7EME 69007	617 338 064 €
918	VERSALIS FRANCE S.A.S.	Fabrication d'autres produits chimiques organiques de base (20.14Z)	DUNKERQUE 59279	615 578 021 €
919	SRP GROUPE	Activités des sociétés holding (64.20Z)	SAINT-DENIS 93210	615 562 000 €
920	ECONOCOM PRODUCTS & SOLUTIONS	Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (46.51Z)	PUTEAUX 92800	615 358 931 €
921	DPD FRANCE	Autres activités de poste et de courrier (53.20Z)	ISSY-LES-MOULINEAUX 92130	614 949 888 €
922	APTAR FRANCE SAS	Fabrication d'emballages en matières plastiques (22.22Z)	LE NEUBOURG 27110	614 071 929 €
923	NATIXIS INVESTMENT MANAGERS INTERNATIONAL	Gestion de fonds (66.30Z)	PARIS 13 75013	613 859 932 €
924	COLGATE-PALMOLIVE	Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté (46.45Z)	COLOMBES 92700	612 984 901 €
925	CELINE	Commerce de gros (commerce interentreprises) d'autres biens domestiques (46.49Z)	PARIS 2 75002	611 074 912 €
926	CARMIGNAC GESTION	Gestion de fonds (66.30Z)	PARIS 1 75001	610 070 000 €
927	HAULOTTE GROUP	Fabrication de matériel de levage et de manutention (28.22Z)	LORETTE 42420	609 828 000 €
928	SOCIETE COOPERATIVE AGRICOLE LE GOUESSANT	Fabrication d'aliments pour animaux de ferme (10.91Z)	LAMBALLE-ARMOR 22400	609 157 498 €
929	S C P R SOC CAVES PRODUCTEURS REUNIS ROQUEFORT	Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles (46.33Z)	ROQUEFORT-SUR-SOULZON 12250	608 944 235 €
930	D C E M ITM EQUIPEMENT DE LA MAISON - ITM EM	Centrales d'achat non alimentaires (46.19A)	PARIS 15 75015	608 839 438 €
931	COLAS RAIL	Construction de voies ferrées de surface et souterraines (42.12Z)	COURBEVOIE 92400	608 114 538 €
932	MICROMANIA	Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé (47.41Z)	VALBONNE 06560	607 775 265 €
933	SIPA SOC INVESTISSEMENT PARTICIPAT AQUITAINE	Activités des sièges sociaux (70.10Z)	LE BOUSCAT 33110	607 745 000 €
934	GROUPE LDLC	Vente à distance sur catalogue spécialisé (47.91B)	LIMONEST 69760	607 494 000 €
935	TOTAL AUSTRAL	Extraction de pétrole brut (06.10Z)	COURBEVOIE 92400	606 801 581 €
936	VALEO VISION	Fabrication d'appareils d'éclairage électrique (27.40Z)	BOBIGNY 93000	605 898 002 €
937	EES - CLEMESSY EIFFAGE ENERGIE SYSTEMES - CLEMESSY	Travaux d'installation électrique dans tous locaux (43.21A)	MULHOUSE 68200	605 631 523 €
938	VIVALTO SANTE HOLDING	Activités des sociétés holding (64.20Z)	PARIS 16 75116	605 200 000 €
939	JOLIETTE MATERIEL	Activités des sociétés holding (64.20Z)	MARSEILLE 2 13002	603 697 822 €
940	EDVANCE	Ingénierie, études techniques (71.12B)	PARIS 8 75008	603 393 307 €
941	VIVALTO SANTE INVESTISSEMENT	Activités des sociétés holding (64.20Z)	PARIS 16 75116	602 600 000 €
942	THEA HOLDING	Activités des sociétés holding (64.20Z)	CLERMONT-FERRAND 63100	602 274 000 €
943	SELECT T.T.	Activités des agences de travail temporaire (78.20Z)	SAINT-DENIS 93200	601 662 337 €
944	ECONOCOM FRANCE	Location et location-bail de machines de bureau et de matériel informatique (77.33Z)	PUTEAUX 92800	600 249 664 €
945	GUERLAIN	Fabrication de parfums et de produits pour la toilette (20.42Z)	PARIS 8 75008	598 990 000 €
946	FBPF FROMAGERIES BEL PRODUCTION FRANCE	Fabrication de fromage (10.51C)	SURESNES 92150	598 121 230 €
947	RIVP REGIE IMMOBILIERE DE LA VILLE DE PARIS	Location de logements (68.20A)	PARIS 13 75013	596 591 402 €
948	ENTREPRISE GAGNERAUD PERE ET FILS	Activités des sociétés holding (64.20Z)	PARIS 16 75016	596 566 016 €
949	BSH ELECTROMENAGER	Commerce de gros (commerce interentreprises) d'appareils électroménagers (46.43Z)	SAINT-OUEN-SUR-SEINE 93400	595 749 192 €
950	SOCOMEC HOLDING	Activités des sièges sociaux (70.10Z)	BENFELD 67230	595 209 529 €
951	PHILIP MORRIS FRANCE	Commerce de gros (commerce interentreprises) de produits à base de tabac (46.35Z)	PUTEAUX 92800	594 275 502 €
952	LACOSTE OPERATIONS	Fabrication de vêtements de dessus (14.13Z)	PARIS 16 75016	593 492 039 €
953	PHILIPS FRANCE COMMERCIAL	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	SURESNES 92150	589 968 419 €
954	GROUPE EUROPE HOLDING FRANCE	Activités des sociétés holding (64.20Z)	PARIS 4 75004	589 314 000 €
955	BORDEAUX METROPOLE ENERGIES	Activités des sièges sociaux (70.10Z)	BORDEAUX 33300	588 711 139 €
956	LB&C LACTALIS BEURRES & CREMES	Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles (46.33Z)	BOURGBARRE 35230	588 522 272 €
957	CNIM GROUPE	Fabrication de fours et brûleurs (28.21Z)	LEVALLOIS-PERRET 92300	588 388 000 €
958	SMAC	Travaux d'étanchéification (43.99A)	ISSY-LES-MOULINEAUX 92130	587 881 000 €
959	ABBVIE	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	RUNGIS 94150	587 542 240 €
960	KILOUTOU	Location et location-bail d'autres biens personnels et domestiques (77.29Z)	VILLENEUVE D'ASCQ 59650	585 625 995 €
961	MEDICA FRANCE	Hébergement médicalisé pour personnes âgées (87.10A)	PARIS 8 75008	584 794 151 €
962	HEPPNER SOCIETE DE TRANSPORTS	Affrètement et organisation des transports (52.29B)	STRASBOURG 67100	584 001 296 €
963	POMONA EPISAVEURS	Commerce de gros (commerce interentreprises) alimentaire non spécialisé (46.39B)	ANTONY 92160	582 579 122 €
964	SPHERE	Activités des sièges sociaux (70.10Z)	PARIS 16 75116	582 429 000 €
965	COLAS RHONE-ALPES AUVERGNE	Construction de routes et autoroutes (42.11Z)	LYON 7EME 69007	581 627 847 €
966	EMC2	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	BRAS-SUR-MEUSE 55100	581 165 000 €
967	DAIKIN AIRCONDITIONING FRANCE	Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (46.69B)	NANTERRE 92000	579 902 858 €
968	LEADER GROUP	Activités des sièges sociaux (70.10Z)	EAUBONNE 95600	579 694 000 €
969	MARIONNAUD LAFAYETTE	Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé (47.75Z)	PARIS 2 75002	579 417 665 €
970	LESIEUR	Fabrication d'huiles et graisses raffinées (10.41B)	ASNIERES-SUR-SEINE 92600	578 905 769 €
971	PANZANI	Fabrication de pâtes alimentaires (10.73Z)	LYON 8EME 69008	578 857 000 €
972	VITESCO TECHNOLOGIES FRANCE	Autres commerces de détail spécialisés divers (47.78C)	TOULOUSE 31100	578 762 528 €
973	VINCI CONSTRUCTION DOM-TOM	Travaux de terrassement courants et travaux préparatoires (43.12A)	RUEIL-MALMAISON 92500	578 567 000 €
974	RICHARDSON	Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage (46.74B)	MARSEILLE 2 13002	578 328 650 €
975	3M FRANCE	Fabrication de produits de consommation courante en matières plastiques (22.29B)	CERGY 95000	578 274 423 €
976	S N V	Transformation et conservation de la viande de volaille (10.12Z)	RIVES D'ANDAINE 61140	578 170 759 €
977	GDB GAZ DE BORDEAUX	Commerce de combustibles gazeux par conduites (35.23Z)	BORDEAUX 33300	578 114 582 €
978	ALUMINIUM DUNKERQUE	Métallurgie de l'aluminium (24.42Z)	LOON-PLAGE 59279	578 095 555 €
979	UGITECH	Sidérurgie (24.10Z)	UGINE 73400	577 615 136 €
980	SOITEC	Fabrication de composants électroniques (26.11Z)	BERNIN 38190	577 355 000 €
981	SCA TERRES DU SUD	Commerce de gros (commerce interentreprises) d'animaux vivants (46.23Z)	CLAIRAC 47320	576 305 440 €
982	PORSCHE FRANCE	Commerce de voitures et de véhicules automobiles légers (45.11Z)	ASNIERES-SUR-SEINE 92600	576 064 356 €
983	LVMH FRAGRANCE BRANDS	Fabrication de parfums et de produits pour la toilette (20.42Z)	LEVALLOIS-PERRET 92300	575 343 321 €
984	AUCHAN RETAIL LOGISTIQUE	Entreposage et stockage non frigorifique (52.10B)	VILLENEUVE D'ASCQ 59650	574 492 513 €
985	LNA SANTE	Hébergement social pour personnes âgées (87.30A)	VERTOU 44120	573 893 000 €
986	FRANS BONHOMME	Commerce de gros (commerce interentreprises) de bois et de matériaux de construction (46.73A)	JOUE-LES-TOURS 37300	572 527 346 €
987	BOEHRINGER INGELHEIM ANIMAL HEALTH FRANCE	Fabrication de préparations pharmaceutiques (21.20Z)	LYON 7EME 69007	571 948 003 €
988	SAINT-GOBAIN PAM HOLDING	Activités des sièges sociaux (70.10Z)	PONT-À-MOUSSON 54700	571 470 214 €
989	ALUMINIUM DUNKERQUE SERVICE	Métallurgie de l'aluminium (24.42Z)	LOON-PLAGE 59279	571 445 935 €
990	CARRIER	Fabrication d'équipements aérauliques et frigorifiques industriels (28.25Z)	MONTLUEL 01120	570 621 567 €
991	PLACOPLATRE	Fabrication d'éléments en plâtre pour la construction (23.62Z)	COURBEVOIE 92400	569 836 419 €
992	RICOH FRANCE	Réparation d'ordinateurs et d'équipements périphériques (95.11Z)	RUNGIS 94150	569 809 931 €
993	SOMFY ACTIVITES SA	Fabrication de moteurs, génératrices et transformateurs électriques (27.11Z)	CLUSES 74300	569 285 755 €
994	FOCH ORMESSON	Conseil pour les affaires et autres conseils de gestion (70.22Z)	PARIS 16 75116	567 698 000 €
995	PLANETPHARMA	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	LE GRAND-QUEVILLY 76120	567 478 096 €
996	GIRAUD PRODUCTIONS	Fabrication de portes et fenêtres en métal (25.12Z)	COURS 69240	567 334 241 €
997	LAPEYRE	Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus) (47.52B)	PARIS 1 75001	567 334 241 €
998	SOCIETE BRETONNE DE VOLAILLE	Commerce de gros (commerce interentreprises) de volailles et gibier (46.32C)	SAINT-JEAN-BREVELAY 56660	566 930 160 €
999	PLASTIC OMNIUM AUTO EXTERIEUR	Fabrication d'autres équipements automobiles (29.32Z)	LYON 7EME 69007	566 893 952 €
1000	LACTEL	Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles (46.33Z)	CHANGE 53810	566 835 483 €
